target_id	length	eff_length	est_counts	tpm
Y110A7A.10	1787	1407.69	1652	58.2786
F27C8.1	1940	1535.33	159	5.14285
F07C3.7	1728	1392.26	47	1.67643
F52H2.2a	1739	1450.33	186.642	6.39074
F52H2.2b	1840	1563.29	55.3577	1.75852
T13A10.10a	1734	1371.05	79	2.86142
T13A10.10b	1598	1269.49	0	0
C55C2.5a	1840	1748.2	17.9326	0.509401
C55C2.5b	1606	1542.61	0	0
C55C2.5c	1671	1581.15	0	0
C55C2.5d	1618	1553.22	27.0674	0.865404
T11F9.4a	1765	1394.88	18.2978	0.651429
T11F9.4b.1	1684	1318.65	99.7017	3.75473
T11F9.4b.2	1784	1405.91	0.000539624	1.90608e-05
F54D12.3	1503	1283.33	2	0.0773925
F28F9.4	1452	1268.2	65	2.54526
Y53H1C.1a	2022	1896.78	992.989	25.9976
Y53H1C.1b	1958	1842.02	127.999	3.4508
C50F2.9	258	64.9	0	0
C50F2.10	414	212.055	147	34.4251
F54B8.5	270	74.5129	0	0
Y38H6C.22	381	182	0	0
T22H6.5	484	264.715	7	1.31319
T22H6.7	646	393.638	8	1.00925
M79.1a	4081	3718.45	188.51	2.51756
M79.1b	4012	3650.43	335.49	4.56396
M79.1c	3997	3629.42	0	0
C24F3.5a	4715	3778.52	9.54087	0.125393
C24F3.5b	4726	3783.73	1.45913	0.0191505
F12B6.1a	6670	6665.06	137.082	1.02137
F12B6.1b	6559	6567.82	204.918	1.5494
Y39D8C.1	5545	5572.51	596	5.31132
Y53C10A.9	4724	4073.91	9	0.109708
AC3.3	1403	1204	0	0
F19G12.7	1719	1520	0	0
F31A3.1	729	530	0	0
Y5H2A.3	1020	837.837	1	0.0592717
Y105C5A.4	1008	809	0	0
C03A7.7	1174	975	0	0
C03A7.8	1317	1190.26	1	0.041722
C03A7.14	1525	1326	0	0
R09F10.2	1137	917.973	1	0.0540974
F35A5.3	1271	1203.47	1	0.0412642
T01D1.6	1273	1204.87	3	0.123648
W09B12.1.1	1984	1737.59	46.7753	1.33683
W09B12.1.2	2525	2171.05	130.225	2.97872
