target_id	length	eff_length	est_counts	tpm
Y110A7A.10	1787	1448.64	1606	41.3811
F27C8.1	1940	1579.5	122	2.88308
F07C3.7	1728	1418.54	268	7.05193
F52H2.2a	1739	1445.47	258.311	6.67038
F52H2.2b	1840	1547.46	60.6892	1.46389
T13A10.10a	1734	1375.59	296.545	8.04671
T13A10.10b	1598	1268.07	14.4554	0.425504
C55C2.5a	1840	1657.16	282.694	6.36748
C55C2.5b	1606	1440.01	0	0
C55C2.5c	1671	1499.64	17.3062	0.430756
C55C2.5d	1618	1450.06	0	0
T11F9.4a	1765	1420.76	30.1881	0.793103
T11F9.4b.1	1684	1338.72	292.086	8.144
T11F9.4b.2	1784	1433.54	109.726	2.85703
F54D12.3	1503	1248.25	30	0.897087
F28F9.4	1452	1231.72	20	0.606087
Y53H1C.1a	2022	1811.77	1194.22	24.6035
Y53H1C.1b	1958	1757.92	74.1047	1.57349
C50F2.9	258	64.9	7	4.02596
C50F2.10	414	215	3	0.520833
F54B8.5	270	74.5129	0	0
Y38H6C.22	381	182	9	1.84581
T22H6.5	484	268.637	90	12.5053
T22H6.7	646	400.196	72	6.71546
M79.1a	4081	3704.8	336.095	3.3862
M79.1b	4012	3637.94	224.905	2.3076
M79.1c	3997	3612.13	0	0
C24F3.5a	4715	3992.18	259.811	2.4292
C24F3.5b	4726	3998.43	0.188773	0.00176225
F12B6.1a	6670	6504.61	316.264	1.81486
F12B6.1b	6559	6401.78	406.736	2.37153
Y39D8C.1	5545	5388.15	1113	7.7103
Y53C10A.9	4724	4158.68	231	2.07335
AC3.3	1403	1110.14	0	0
F19G12.7	1719	1416.18	3	0.0790712
F31A3.1	729	530	0	0
Y5H2A.3	1020	788.34	2	0.0946962
Y105C5A.4	1008	809	0	0
C03A7.7	1174	975	0	0
C03A7.8	1317	1106.63	2	0.0674593
C03A7.14	1525	1306.2	5	0.142882
R09F10.2	1137	873.913	7	0.298983
F35A5.3	1271	1104.67	6	0.202738
T01D1.6	1273	1101.58	10	0.338844
W09B12.1.1	1984	1721.53	3.99677	0.0866583
W09B12.1.2	2525	2197.66	180.003	3.05728
Y44E3A.2	1995	1727.56	417	9.0099
Y48B6A.8	2168	1905.95	35.4697	0.694642
Y48B6A.7	1930	1798.29	33	0.684968
C42D8.5a	3282	3018.96	62.5967	0.773944
C42D8.5b	1560	1320.03	35.3889	1.00069
ZK455.1	3072	2792.54	6347	84.8369
F54H12.1a	2709	2451.4	9528.5	145.086
F54H12.1b	2365	2112.51	2444.12	43.1857
F54H12.1c.1	2500	2255.85	8575.77	141.899
F54H12.1c.2	2562	2306.84	11.6033	0.18775
K11G12.2	1888	1559.11	16	0.383054
K11G12.7	1660	1337.79	10	0.279014
K03F8.2	1800	1398.76	6	0.160112
ZK973.5	1666	1344.61	4	0.11104
