target_id	length	eff_length	est_counts	tpm
Y110A7A.10	1787	1544.9	392	20.4478
F27C8.1	1940	1615.6	61	3.04271
F07C3.7	1728	1441.86	176	9.83675
F52H2.2a	1739	1534.91	86	4.51522
F52H2.2b	1840	1648.25	0	0
T13A10.10a	1734	1534.9	130	6.82536
T13A10.10b	1598	1407.48	0	0
C55C2.5a	1840	1664.69	49	2.37207
C55C2.5b	1606	1457.57	0	0
C55C2.5c	1671	1523.17	0	0
C55C2.5d	1618	1465.04	0	0
T11F9.4a	1765	1484.11	0	0
T11F9.4b.1	1684	1408.89	155.299	8.88288
T11F9.4b.2	1784	1511.72	14.7009	0.783674
F54D12.3	1503	1254.81	7	0.449555
F28F9.4	1452	1224.27	2	0.131649
Y53H1C.1a	2022	1684.35	137.18	6.5633
Y53H1C.1b	1958	1629	1.3051e-05	6.45635e-07
C50F2.9	258	64.9	5	6.20852
C50F2.10	414	215	0	0
F54B8.5	270	74.5129	0	0
Y38H6C.22	381	182	1	0.442783
T22H6.5	484	258.619	183	57.0236
T22H6.7	646	446.622	184	33.2002
M79.1a	4081	3821.37	35.3819	0.746148
M79.1b	4012	3745.77	115.612	2.48728
M79.1c	3997	3714.89	0.00624584	0.00013549
C24F3.5a	4715	4189.33	210	4.0396
C24F3.5b	4726	4201.89	4.64556e-08	8.90957e-10
F12B6.1a	6670	6541.08	6.03419e-08	7.43417e-10
F12B6.1b	6559	6427.73	204	2.55762
Y39D8C.1	5545	5490.06	469	6.88428
Y53C10A.9	4724	4350.88	215	3.98221
AC3.3	1403	1328.82	0	0
F19G12.7	1719	1520	0	0
F31A3.1	729	530	0	0
Y5H2A.3	1020	881.918	3	0.27413
Y105C5A.4	1008	897.756	0.998498	0.0896296
C03A7.7	1174	1128.37	0.746797	0.053335
C03A7.8	1317	1291.44	3.23037	0.201577
C03A7.14	1525	1494.12	2.02284	0.109104
R09F10.2	1137	1014.99	12	0.952756
F35A5.3	1271	1142.95	5	0.352539
T01D1.6	1273	1197.56	4	0.269169
W09B12.1.1	1984	1736.88	0	0
W09B12.1.2	2525	2216.84	40	1.45408
Y44E3A.2	1995	1734.18	2	0.0929394
Y48B6A.8	2168	1967.19	18.4301	0.754997
Y48B6A.7	1930	1632.93	3	0.148052
C42D8.5a	3282	3043.67	104.902	2.77746
C42D8.5b	1560	1294.4	62.7843	3.90882
ZK455.1	3072	2837.64	2977	84.5443
F54H12.1a	2709	2513.82	48.6513	1.55964
F54H12.1b	2365	2171.2	693.936	25.7563
F54H12.1c.1	2500	2304.67	758.637	26.527
F54H12.1c.2	2562	2360.32	140.776	4.8064
K11G12.2	1888	1635.24	17	0.83778
K11G12.7	1660	1350.59	17	1.01435
K03F8.2	1800	1601	0	0
ZK973.5	1666	1417.68	5	0.284219
T09A5.3	1692	1358.61	13	0.771101
ZC504.2	1758	1427.49	35	1.97587
C40C9.2	1909	1722.4	12	0.561449
R02E12.8	1680	1423	3	0.169894
D2092.3	1445	1174.39	20	1.3724
R01E6.4a	1926	1656.4	26.9106	1.30924
R01E6.4b	1531	1287.09	17.0894	1.06999
T05C12.2	1595	1275.12	3	0.189598
F25G6.4	1506	1241.12	71	4.61009
F25G6.3	1797	1537.44	35	1.83456
F53E10.2a	1359	1160	0	0
F53E10.2b	1616	1356.84	8	0.475142
F28F8.1	1617	1352.92	60	3.57389
C31H5.3a	1858	1561.79	1.43322e-07	7.39528e-09
C31H5.3b	1841	1539.17	9	0.471214
R06A4.10a	1702	1483.15	0.000430074	2.3368e-05
R06A4.10b	1693	1472.26	3.99957	0.218923
R06A4.10c	1841	1623.3	0	0
F27B3.2	1410	1194.2	2	0.134963
F48E3.7	1435	1200.2	26	1.74576
F59B1.9	1718	1488.15	2	0.108305
T04C12.6.1	1264	1177.79	0	0
T04C12.6.2	1366	1291.58	202.854	12.6569
T04C12.6.3	1346	1258.52	15771.8	1009.92
T04C12.6.4	1277	1196.23	93.6909	6.31171
T04C12.5.1	1321	1197.79	7252.42	487.939
T04C12.5.2	1335	1211.07	1276.88	84.9653
T04C12.4.1	1480	1364.79	21005.8	1240.32
T04C12.4.2	1564	1445.13	2528.99	141.027
T04C12.4.3	1559	1440.06	0.187689	0.0105032
M03F4.2a	1672	1623.43	17100.2	848.853
M03F4.2b.1	1599	1531.17	55.225	2.90654
M03F4.2b.2	1603	1534.5	0	0
M03F4.2b.3	1606	1542.68	31910.2	1666.93
M03F4.2b.4	1596	1530.24	50.0218	2.63429
M03F4.2b.5	1541	1459.62	46533.4	2569.14
M03F4.2b.6	1576	1504.69	110.751	5.93148
M03F4.2c	1633	1581.06	69.9685	3.5663
T25C8.2.1	1343	1197.56	1894.54	127.488
T25C8.2.2	1344	1198.49	4368.08	293.71
F17C8.1	4068	3752.35	236	5.06841
C10F3.3	3343	3108.4	8	0.207404
C44F1.5	4152	3894.16	108	2.23498
T01C2.1	3269	2869.78	98	2.75195
F39C12.2a	2213	2028.14	12.2595	0.487123
F39C12.2b	2525	2298.98	110.66	3.879
F39C12.2c	2428	2210.73	0	0
F39C12.2d	2049	1859.62	5.0801	0.220146
