target_id	length	eff_length	est_counts	tpm
Y110A7A.10	1787	1413.43	2859	63.8198
F27C8.1	1940	1532.45	307	6.32074
F07C3.7	1728	1396.41	171	3.86364
F52H2.2a	1739	1445.18	286.991	6.26558
F52H2.2b	1840	1558.15	331.009	6.70262
T13A10.10a	1734	1369.33	154	3.54837
T13A10.10b	1598	1266.62	0	0
C55C2.5a	1840	1734.05	100	1.81951
C55C2.5b	1606	1514.97	0	0
C55C2.5c	1671	1566.96	0	0
C55C2.5d	1618	1525.12	0	0
T11F9.4a	1765	1392.64	36.8333	0.834485
T11F9.4b.1	1684	1317.02	11.1662	0.267503
T11F9.4b.2	1784	1404.53	0.000456085	1.02455e-05
F54D12.3	1503	1277.53	11	0.271666
F28F9.4	1452	1259.68	34	0.851599
Y53H1C.1a	2022	1865.75	1865.83	31.5525
Y53H1C.1b	1958	1812.33	213.236	3.71226
C50F2.9	258	64.9	8	3.8892
C50F2.10	414	210.175	147	22.0674
F54B8.5	270	74.5129	0	0
Y38H6C.22	381	182	0	0
T22H6.5	484	262.733	20	2.40177
T22H6.7	646	395.262	48	3.83152
M79.1a	4081	3722.18	709.87	6.01723
M79.1b	4012	3654.44	226.13	1.95233
M79.1c	3997	3632.73	0	0
C24F3.5a	4715	3797.09	13.7305	0.114091
C24F3.5b	4726	3802.08	2.26947	0.0188329
F12B6.1a	6670	6656.24	5.69186e-07	2.69799e-09
F12B6.1b	6559	6557.22	245	1.17886
Y39D8C.1	5545	5587.17	706	3.98683
Y53C10A.9	4724	4083.32	35	0.270439
AC3.3	1403	1204	0	0
F19G12.7	1719	1496.89	2	0.0421556
F31A3.1	729	530	0	0
Y5H2A.3	1020	842.229	1.20618	0.0451851
Y105C5A.4	1008	784.539	0	0
C03A7.7	1174	1030.67	1.61354	0.0493942
C03A7.8	1317	1118	0	0
C03A7.14	1525	1405.98	1.38646	0.031113
R09F10.2	1137	920.944	3	0.102779
F35A5.3	1271	1194.08	2	0.052846
T01D1.6	1273	1200.33	6	0.157712
W09B12.1.1	1984	1739.73	39.9109	0.723809
W09B12.1.2	2525	2177.69	164.089	2.37739
Y44E3A.2	1995	1757.82	113	2.02824
Y48B6A.8	2168	1907.94	21.4479	0.354679
Y48B6A.7	1930	1863.79	8	0.135428
C42D8.5a	3282	3036.38	22.8573	0.237511
C42D8.5b	1560	1309.45	29.6095	0.713438
ZK455.1	3072	2816.42	4845	54.2764
F54H12.1a	2709	2469.36	26256.4	335.48
F54H12.1b	2365	2128.23	47.0399	0.697369
F54H12.1c.1	2500	2272.61	13.5487	0.188099
