target_id	length	eff_length	est_counts	tpm
Y110A7A.10	1787	1422.72	787	24.3486
F27C8.1	1940	1561.21	124	3.49604
F07C3.7	1728	1396.98	321	10.1142
F52H2.2a	1739	1435.16	163.552	5.01617
F52H2.2b	1840	1544.61	56.4481	1.60859
T13A10.10a	1734	1369.13	263.939	8.48543
T13A10.10b	1598	1262.64	7.06141	0.246167
C55C2.5a	1840	1676.58	294.073	7.72055
C55C2.5b	1606	1459	0	0
C55C2.5c	1671	1519.91	47.3719	1.3719
C55C2.5d	1618	1475.22	9.55553	0.285111
T11F9.4a	1765	1403.18	4.13723e-07	1.29782e-08
T11F9.4b.1	1684	1323.11	406.767	13.5321
T11F9.4b.2	1784	1413.38	172.233	5.36381
F54D12.3	1503	1262.06	44	1.53458
F28F9.4	1452	1239.14	8	0.284176
Y53H1C.1a	2022	1853.09	515.965	12.2558
Y53H1C.1b	1958	1798.68	129.026	3.15748
C50F2.9	258	64.9	1	0.678223
C50F2.10	414	209.999	1	0.209604
F54B8.5	270	74.5129	0	0
Y38H6C.22	381	182	7	1.69294
T22H6.5	484	263.564	89	14.8635
T22H6.7	646	394.991	144	16.0469
M79.1a	4081	3677.67	227.986	2.72867
M79.1b	4012	3612.86	95.7333	1.16635
M79.1c	3997	3589.45	1.28097	0.0157083
C24F3.5a	4715	3883.93	569.246	6.45128
C24F3.5b	4726	3891.43	0.754386	0.008533
F12B6.1a	6670	6490.86	1.08579e-05	7.36307e-08
F12B6.1b	6559	6394.58	717	4.93542
Y39D8C.1	5545	5394.2	1396	11.3914
Y53C10A.9	4724	4091.74	611	6.5728
AC3.3	1403	1108.76	1547.66	61.4405
F19G12.7	1719	1411.59	17	0.530098
F31A3.1	729	530	0	0
Y5H2A.3	1020	787.493	87.359	4.88291
Y105C5A.4	1008	809	0	0
C03A7.7	1174	945.717	1096.13	51.0175
C03A7.8	1317	1096.84	1422.78	57.0967
C03A7.14	1525	1301.12	2173.01	73.5124
R09F10.2	1137	864.928	12.1725	0.619466
F35A5.3	1271	1112.71	1058	41.8525
T01D1.6	1273	1117.66	1659	65.3363
W09B12.1.1	1984	1721.98	0	0
W09B12.1.2	2525	2180.74	151	3.04783
Y44E3A.2	1995	1721.82	363	9.27976
Y48B6A.8	2168	1892.61	51.3589	1.19446
Y48B6A.7	1930	1815.58	42	1.01824
C42D8.5a	3282	2961.49	103.247	1.53457
C42D8.5b	1560	1297.85	58.6514	1.98916
ZK455.1	3072	2758.25	3768	60.1304
F54H12.1a	2709	2400.71	6012.11	110.231
F54H12.1b	2365	2073.29	2960.64	62.8554
F54H12.1c.1	2500	2209.58	5123.39	102.062
