chr,target_id,ext_gene
chrI,T19A6.1a.2,T19A6.1
chrI,T19A6.1c,T19A6.1
chrI,K09H9.6.2,
chrI,C10G11.6b,C10G11.6
chrI,F52A8.4b,
chrI,C17E4.10a.1,
chrI,F15D3.1c,dys-1
chrI,F15D3.1e,dys-1
chrI,F15D3.1i,
chrI,F33E2.4.1,F33E2.4
chrI,W09C5.2,
chrI,F53G12.5b,
chrI,F53G12.5c.1,
chrI,R119.5b,R119.5
chrI,Y95B8A.12a,Y95B8A.12
chrI,Y95B8A.12c,Y95B8A.12
chrI,Y95B8A.12e,Y95B8A.12
chrI,Y48G8AL.6,smg-2
chrI,K12C11.4b,
chrI,Y92H12A.1b,
chrI,Y71G12B.13,Y71G12B.13
chrI,W03F11.2a,
chrI,Y39G10AR.3a,nekl-1
chrI,Y39G10AR.3d,nekl-1
chrI,Y23H5B.6a,Y23H5B.6
chrI,Y71F9AL.16,arx-1
chrI,W01B11.5b,
chrI,W01B11.5d,
chrI,Y47G6A.5b,Y47G6A.5
chrI,C32E8.10e,unc-11
chrI,C32E8.10f,unc-11
chrI,C32E8.10h,unc-11
chrI,C32E8.10d,unc-11
chrI,C09D1.1b,
chrI,C09D1.1f,
chrI,ZK973.6,anc-1
chrI,D1007.10b.1,
chrI,W09C3.1,W09C3.1
chrI,F57C9.1a.2,F57C9.1
chrI,F57C9.1c,F57C9.1
chrI,Y110A7A.15a,Y110A7A.15
chrI,F55A12.9b,pqn-44
chrI,F55A12.9d.1,pqn-44
chrI,C09D4.1a,C09D4.1
chrI,F46F11.1a,F46F11.1
chrI,T22E7.2,
chrI,B0025.1c.1,vps-34
chrI,T09B4.7,
chrI,F57B10.10,dad-1
chrI,T10B11.7a,
chrI,F22D6.1,
chrI,D2030.9a.1,wdr-23
chrI,D2030.9c,wdr-23
chrI,D2030.9b.2,wdr-23
chrI,D2030.9d.2,wdr-23
chrI,F27D4.6a.1,
chrI,F27D4.6a.3,
chrI,C09H6.3,
chrI,K02B12.5,
chrI,F39H2.2b,
chrI,T08G11.1a,T08G11.1
chrI,C31H5.6a.1,C31H5.6
chrI,C31H5.6b,C31H5.6
chrI,F25H5.3d,pyk-1
chrI,F25H5.3c.1,pyk-1
chrI,F25H5.3b,pyk-1
chrI,C36F7.4a,
chrI,C36F7.4e,rig-5
chrI,C36F7.4b,rig-5
chrI,C04F12.8,C04F12.8
chrI,T24D1.4,tag-179
chrI,B0379.4b,
chrI,Y106G6E.5b,
chrI,T27C10.4,bath-25
chrI,Y53H1C.2a,
chrI,Y53H1C.2b,
chrI,F58D5.4a,ksr-2
chrI,F58D5.4c.2,
chrI,C47F8.6,C47F8.6
chrI,T06G6.4,T06G6.4
chrI,C47B2.6a,gale-1
chrI,C17H1.11,
chrI,Y6B3B.4,
chrI,C37A5.2,fipr-22
chrI,Y105E8A.9,apg-1
chrI,Y54E5B.1b,smp-1
chrI,ZK909.2j,
chrI,ZK909.2i,
chrI,ZK909.2b,
chrI,ZK909.2k,
chrI,ZK909.2l,
chrI,ZK909.2m,
chrI,Y74C9A.3,homt-1
chrI,Y74C9A.2b.2,nlp-40
chrI,Y74C9A.2b.4,nlp-40
chrI,Y74C9A.2a.1,nlp-40
chrI,Y74C9A.4a,rcor-1
chrI,Y74C9A.4c,rcor-1
chrI,Y74C9A.9,Y74C9A.9
chrI,Y74C9A.5.1,sesn-1
chrI,Y74C9A.8,21ur-13439
chrI,Y48G1C.12,Y48G1C.12
chrI,Y48G1C.4b,pgs-1
chrI,Y48G1C.2b.1,csk-1
chrI,Y48G1C.2a,csk-1
chrI,Y48G1C.10a,Y48G1C.10
chrI,Y48G1C.10b,
chrI,Y48G1C.9.2,Y48G1C.9
chrI,Y48G1C.1,Y48G1C.1
chrI,Y48G1C.8a,Y48G1C.8
chrI,F53G12.1.1,rab-11.1
chrI,F53G12.16,F53G12.16
chrI,F53G12.10.1,rpl-7
chrI,F53G12.17,F53G12.17
chrI,F53G12.9a,F53G12.9
chrI,F53G12.8,F53G12.8
chrI,F53G12.7a,col-45
chrI,F53G12.6,spe-8
chrI,F53G12.4,
chrI,F56C11.1,
chrI,F56C11.2b,
chrI,F56C11.6a,
chrI,F56C11.7,
chrI,F56C11.5a,
chrI,Y48G1BL.2a,
chrI,Y48G1BL.2b,atm-1
chrI,Y48G1BL.3,puf-10
chrI,Y48G1BL.8,Y48G1BL.8
chrI,Y48G1BM.6,Y48G1BM.6
chrI,Y48G1BM.2,Y48G1BM.2
chrI,Y48G1BM.1,snpc-3.2
chrI,T13E5.1,T13E5.1
chrI,C53D5.7,21ur-13405
chrI,C53D5.2,marc-4
chrI,C53D5.4d,ztf-3
chrI,C53D5.4b,ztf-3
chrI,C53D5.4f,ztf-3
chrI,C53D5.1b,C53D5.1
chrI,C53D5.1c,C53D5.1
chrI,C53D5.5b.1,C53D5.5
chrI,C53D5.5b.3,C53D5.5
chrI,Y48G1A.7,Y48G1A.7
chrI,Y48G1A.5b,xpo-2
chrI,Y48G1A.3,daf-25
chrI,Y48G1A.6b,mbtr-1
chrI,Y48G1A.1,Y48G1A.1
chrI,R119.7a,rnp-8
chrI,R119.2,R119.2
chrI,R119.3.2,R119.3
chrI,R119.6,taf-4
chrI,Y50C1A.1b,otub-2
chrI,C07F11.2,C07F11.2
chrI,W04C9.4,W04C9.4
chrI,W04C9.7,21ur-8411
chrI,W04C9.3,cutl-13
